Time Bucket (America/Edmonton),Jasper Ave -Circuit_1 (kWatts),Jasper Ave -Circuit_2 (kWatts),Jasper Ave -Circuit_3 (kWatts),Jasper Ave -Circuit_4 (kWatts),Jasper Ave -Circuit_5 (kWatts),Jasper Ave -Circuit_10 (kWatts),Jasper Ave -Circuit_11 (kWatts)
01/25/2023 23:15:00,0.0071,0.0000,0.0115,0.0000,0.0665,0.0000,0.0000
01/25/2023 23:16:00,0.0070,0.0000,0.0116,0.0000,0.0780,0.0000,0.0000
01/25/2023 23:17:00,0.0070,0.0000,0.0117,0.0000,0.0776,0.0000,0.0000
01/25/2023 23:18:00,0.0071,0.0000,0.0115,0.0001,0.0781,0.0000,0.0000
01/25/2023 23:19:00,0.0072,0.0000,0.0114,0.0001,0.0771,0.0000,0.0000
01/25/2023 23:20:00,0.0071,0.0000,0.0117,0.0006,0.0623,0.0000,0.0000
01/25/2023 23:21:00,0.0071,0.0000,0.0117,0.0024,0.0651,0.0000,0.0000
01/25/2023 23:22:00,0.0073,0.0000,0.0095,0.0706,0.0607,0.0000,0.0000
01/25/2023 23:23:00,0.0075,0.0000,0.0000,0.1420,0.0577,0.0000,0.0000
01/25/2023 23:24:00,0.0074,0.0000,0.0000,0.1335,0.0557,0.0000,0.0000
01/25/2023 23:25:00,0.0073,0.0000,0.0000,0.1346,0.0528,0.0000,0.0000
01/25/2023 23:26:00,0.0074,0.0000,0.0000,0.1338,0.0527,0.0000,0.0000
01/25/2023 23:27:00,0.0075,0.0000,0.0000,0.1336,0.0534,0.0000,0.0000
01/25/2023 23:28:00,0.0074,0.0000,0.0000,0.1337,0.0528,0.0000,0.0000
01/25/2023 23:29:00,0.0073,0.0000,0.0000,0.1325,0.0527,0.0000,0.0000
01/25/2023 23:30:00,0.0073,0.0000,0.0000,0.1319,0.0526,0.0000,0.0000
01/25/2023 23:31:00,0.0073,0.0000,0.0001,0.1325,0.0526,0.0000,0.0000
01/25/2023 23:32:00,0.0071,0.0000,0.0000,0.1317,0.1427,0.0000,0.0000
01/25/2023 23:33:00,0.0072,0.0000,0.0000,0.1313,0.1567,0.0000,0.0000
01/25/2023 23:34:00,0.0073,0.0000,0.0000,0.1310,0.1543,0.0000,0.0000
01/25/2023 23:35:00,0.0072,0.0000,0.0000,0.1307,0.1538,0.0000,0.0000
01/25/2023 23:36:00,0.0074,0.0000,0.0000,0.1303,0.1464,0.0000,0.0000
01/25/2023 23:37:00,0.0071,0.0000,0.0000,0.1300,0.1303,0.0000,0.0000
01/25/2023 23:38:00,0.0072,0.0000,0.0000,0.1297,0.1300,0.0000,0.0000
01/25/2023 23:39:00,0.0071,0.0000,0.0001,0.1295,0.1289,0.0000,0.0000
01/25/2023 23:40:00,0.0071,0.0000,0.0000,0.1291,0.1279,0.0000,0.0000
01/25/2023 23:41:00,0.0071,0.0000,0.0000,0.1289,0.1275,0.0000,0.0000
01/25/2023 23:42:00,0.0071,0.0000,0.0000,0.1287,0.1268,0.0000,0.0000
01/25/2023 23:43:00,0.0071,0.0000,0.0000,0.1290,0.1268,0.0000,0.0000
01/25/2023 23:44:00,0.0072,0.0000,0.0001,0.1283,0.1264,0.0000,0.0000
01/25/2023 23:45:00,0.0073,0.0000,0.0020,0.1284,0.1260,0.0000,0.0000
01/25/2023 23:46:00,0.0072,0.0000,0.0020,0.1281,0.1258,0.0000,0.0000
01/25/2023 23:47:00,0.0073,0.0000,0.0000,0.1279,0.1259,0.0000,0.0000
01/25/2023 23:48:00,0.0073,0.0000,0.0000,0.1277,0.1254,0.0000,0.0000
01/25/2023 23:49:00,0.0073,0.0000,0.0000,0.1272,0.1265,0.0000,0.0000
01/25/2023 23:50:00,0.0072,0.0000,0.0000,0.1273,0.1254,0.0000,0.0000
01/25/2023 23:51:00,0.0072,0.0000,0.0000,0.1270,0.1257,0.0000,0.0000
01/25/2023 23:52:00,0.0072,0.0000,0.0000,0.1266,0.1266,0.0000,0.0000
01/25/2023 23:53:00,0.0074,0.0000,0.0001,0.1265,0.1254,0.0000,0.0000
01/25/2023 23:54:00,0.0072,0.0000,0.0000,0.1266,0.1250,0.0000,0.0000
01/25/2023 23:55:00,0.0072,0.0000,0.0001,0.1263,0.1249,0.0000,0.0000
01/25/2023 23:56:00,0.0073,0.0000,0.0000,0.1261,0.1245,0.0000,0.0000
01/25/2023 23:57:00,0.0073,0.0000,0.0000,0.1262,0.1245,0.0000,0.0000
01/25/2023 23:58:00,0.0071,0.0000,0.0000,0.1260,0.1245,0.0000,0.0000
01/25/2023 23:59:00,0.0072,0.0000,0.0000,0.1259,0.1245,0.0000,0.0000
01/26/2023 00:00:00,0.0072,0.0000,0.0000,0.1254,0.1248,0.0000,0.0000
01/26/2023 00:01:00,0.0072,0.0000,0.0001,0.1257,0.1256,0.0000,0.0000
01/26/2023 00:02:00,0.0073,0.0000,0.0000,0.1252,0.1253,0.0000,0.0000
01/26/2023 00:03:00,0.0072,0.0000,0.0001,0.1253,0.1247,0.0000,0.0000
01/26/2023 00:04:00,0.0073,0.0000,0.0000,0.1249,0.1250,0.0000,0.0000
01/26/2023 00:05:00,0.0071,0.0000,0.0000,0.1252,0.1241,0.0000,0.0000
01/26/2023 00:06:00,0.0072,0.0000,0.0000,0.1249,0.1242,0.0000,0.0000
01/26/2023 00:07:00,0.0071,0.0000,0.0000,0.1244,0.1241,0.0000,0.0000
01/26/2023 00:08:00,0.0071,0.0000,0.0000,0.1247,0.1244,0.0000,0.0000
01/26/2023 00:09:00,0.0071,0.0000,0.0000,0.1246,0.1241,0.0000,0.0000
01/26/2023 00:10:00,0.0071,0.0000,0.0000,0.1244,0.1241,0.0000,0.0000
